id,name,wikidata_id,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,date_premiered,year_written,year_premiered,year_printed,year_normalized,digital_source,original_source_publisher,original_source_pub_place,original_source_year,original_source_number_of_pages,average_degree,density,average_clustering,size,max_degree,num_connected_components,num_edges,diameter,average_path_length
ger000346,koerner-zriny,Q42197855,Tragedy,False,Körner,Zriny,Ein Trauerspiel in fünf Aufzügen,0,zriny,50,5,22,19,2,1,4,0,2857,0,20898,20211,794,,1812,1812,1814,1812,http://www.textgridrep.org/textgrid:r23w.0,,,,,6.636363636363637,0.31601731601731603,0.797830956921866,22,14,1,73,4,2.051948051948052
ger000574,koller-der-zauberstein,Q111592520,Comedy,False,Koller,Der Zauberstein,Eine Posse in einem Aufzuge. Vierte Fortsetzung der beiden Billets,0,goerge,15,0,4,3,1,0,0,409,0,0,5467,5304,302,,,,1804,1804,https://de.wikisource.org/wiki/Der_Zauberstein,,,,,2.0,0.6666666666666666,0.5833333333333333,4,3,1,4,2,1.3333333333333333
ger000615,kotzebue-blind-geladen,Q884182,Comedy,False,Kotzebue,Blind geladen,Lustspiel in Einem Akt,0,thal,23,0,7,6,1,0,0,498,0,1,6645,6341,372,1810-11-18,,1810,1811,1810,https://de.wikisource.org/wiki/Blind_geladen,Hartmann,Leipzig,1811.0,70.0,3.7142857142857144,0.6190476190476191,0.6904761904761906,7,6,1,13,2,1.380952380952381
ger000636,kotzebue-das-unsichtbare-maedchen,Q121433916,,False,Kotzebue,Das unsichtbare Mädchen,Ein Intermezzo,0,suschen|goldangel|stoffel,5,0,3,2,1,0,0,124,171,0,3311,3211,82,,,1811,1812,1811,https://books.google.com/books?id=F5BTAAAAcAAJ&amp;pg=PA303,Hartmann,Leipzig,1812.0,34.0,2.0,1.0,1.0,3,2,1,3,1,1.0
ger000583,kotzebue-der-arme-poet,Q112775643,,False,Kotzebue,Der arme Poet,Ein Schauspiel in Einem Akt,0,lorenz|therese,9,0,5,3,2,0,0,242,0,0,6067,5929,290,1812-08-17,,1812,1813,1812,https://books.google.com/books?id=RZUeAQAAIAAJ&amp;pg=PA142-IA3,,,,,2.8,0.7,0.8,5,4,1,7,2,1.3
ger000487,kotzebue-der-freimaurer,Q89212706,Comedy,False,Kotzebue,Der Freimaurer,Lustspiel in Einem Act,0,karoline|graf,10,0,4,3,1,0,0,0,572,0,4531,4463,73,,,1817,1818,1817,https://www.projekt-gutenberg.org/kotzebue/freimaur/freimaur.html,,,,,2.5,0.8333333333333334,0.8333333333333333,4,3,1,5,2,1.1666666666666667
ger000188,kotzebue-der-hyperboreische-esel,Q56448380,Comedy,False,Kotzebue,"Der Hyperboreische Esel, oder Die heutige Bildung",Ein drastisches Drama und philosophisches Lustspiel für Jünglinge / In einem Aufzuge,0,several characters,12,0,6,4,2,0,0,321,0,0,7273,5671,242,,,1799,1799,1799,http://www.textgridrep.org/textgrid:r2mm.0,,,,,5.0,1.0,1.0,6,5,1,15,1,1.0
ger000485,kotzebue-der-schutzgeist,Q88192948,,False,Kotzebue,Der Schutzgeist,Eine dramatische Legende in sechs Akten nebst einem Vorspiel,0,adelheid,52,7,28,21,5,2,2,0,3404,0,24976,24124,1776,,,1814,1814,1814,http://www.deutschestextarchiv.de/kotzebue_schutzgeist_1814,,,,,3.857142857142857,0.14285714285714285,0.6553803339517624,28,16,1,54,5,2.502645502645503
ger000579,kotzebue-der-verschwiegene-wider-willen,Q112164010,Comedy,False,Kotzebue,"Der Verschwiegene wider Willen, oder die Fahrt von Berlin nach Potsdam",Ein Lustspiel in Einem Act,0,frosch,25,0,8,6,2,0,0,412,0,0,7075,6709,491,1815-11-19,,1815,1816,1815,https://de.wikisource.org/wiki/Der_Verschwiegene_wider_Willen,,,,,4.5,0.6428571428571429,0.7696428571428572,8,7,1,18,2,1.3571428571428572
ger000578,kotzebue-der-weibliche-jacobiner-clubb,Q111939198,Comedy,False,Kotzebue,Der weibliche Jacobiner-Clubb,Ein politisches Lustspiel in Einem Aufzug,0,duport|madam_duport|antoinette,18,0,20,10,10,0,0,478,0,0,7726,7393,496,1791-11-19,1791,1791,1792,1791,https://de.wikisource.org/wiki/Der_weibliche_Jacobiner-Clubb,Kummer,Leipzig,1792.0,,13.9,0.7315789473684211,0.865066844919786,20,18,1,139,3,1.2736842105263158
